,influence_index,rating
asartisticasyou,40.44994597594359,D
theyeechoo,39.65192676933927,D
kimmanw,36.602968028067764,D
cherrymeme__,33.37746034984954,D
albee_be,33.1511858725282,D
huidi_shi,33.114947011792076,D
yehyan426,31.68614847250474,D
kovischa_,31.656479459433893,D
tiffanyxtyc,30.80883865692556,D
chit_chak,30.322379714027008,D
mastamic,28.446850691904686,D
tysonchak,26.35062659198633,D
bakedindulgence,26.094475212651435,D
wifiegg,25.955534744120794,D
wayne_ky,23.31942768076904,D
tanya.tintin,23.069438781885008,D
minimoofashion,19.760462878076616,D
solvilettitusofficial,19.760462878076616,D
boboy831,18.5198190360106,D
heidi_fpdrawings.hk,18.44042448256452,D
skechershk,17.447992564488533,D
bertliu744,17.05101979725814,D
melvinjohnrodas,16.313242267363268,D
felicetrips,16.241743447500227,D
axleviolet,15.917292146195527,D
occasionspr,15.835994261053786,D
hkprideparade,14.75015783467433,D
vinaccccccc,13.047383684042842,D
francois.delaire,12.972737034000454,D
simon_c,12.508496954449653,D
rachellyt,11.782402134309356,D
gedition.co,11.387333915535626,D
vivihk_official,9.750046194970013,D
maybemeii,9.392993999470207,D
tsetakhim,8.775918340497409,D
valeriesyw,8.372151721190239,D
helpmesee,8.048559048230223,D
alysonhau,7.491879707213829,D
ww917,7.163761945810399,D
kingyu__,6.355122444940545,D
_chellechan,5.480119363298859,D
pelilam,5.428416402598852,D
smilesproduction,5.364164964513332,D
welbychung,5.324922558035625,D
crystalyannie,4.819953369725465,D
ohkoeboo,4.342323918458006,D
jerry_liu,4.267992886359127,D
kwcmh,4.028903979735919,D
lokyin_cg,3.9739114759927103,D
official.angelahang,3.7906747369616967,D
thewavehk,3.608251990073494,D
facda,3.4735987484854984,D
xmini.official,3.0233508203457675,D
showoffhk,2.2223776507355364,D
tobey.m___,2.157064270822149,D
coffeecmakeup,1.7942996419575457,D
honam.thehusky,0.5707738543611871,D
