,ig_id,is_HK,updated_following_list_time,details_updated_time,following_list
96,mirror.weare,Hong Kong,2020-01-01,2022-04-16,yet
97,zelia,Hong Kong,2020-01-01,2022-04-16,yet
98,popsalehk,Hong Kong,2020-01-01,2022-04-16,yet
99,lok_lokyii,Hong Kong,2020-01-01,2022-04-16,yet
100,armchanneltv,Hong Kong,2020-01-01,2022-04-16,yet
101,puinam,Hong Kong,2020-01-01,2022-04-16,yet
102,joelshanchung,Hong Kong,2020-01-01,2022-04-16,yet
103,hkfoodprint,Hong Kong,2020-01-01,2022-04-16,yet
104,umagazinehk,Hong Kong,2020-01-01,2022-04-16,yet
105,second_kill,Hong Kong,2020-01-01,2022-04-16,yet
106,wonghoyinraymond,Hong Kong,2020-01-01,2022-04-16,yet
107,takanashi_hanariv3v,Hong Kong,2020-01-01,2022-04-16,yet
108,do_do_cheng,Hong Kong,2020-01-01,2022-04-16,yet
109,tvbcomhk,Hong Kong,2020-01-01,2022-04-16,yet
110,michellewsn,Hong Kong,2020-01-01,2022-04-16,yet
111,alexfongliksun,Hong Kong,2020-01-01,2022-04-16,yet
112,yakiwong,Hong Kong,2020-01-01,2022-04-16,yet
113,hey.luxury,Hong Kong,2020-01-01,2022-04-16,yet
114,carlhoudee,Hong Kong,2020-01-01,2022-04-16,yet
115,ding_2,Hong Kong,2020-01-01,2022-04-16,yet
116,heather__parisi,Hong Kong,2020-01-01,2022-04-16,yet
117,becarefullee,Hong Kong,2020-01-01,2022-04-16,yet
118,konniecrab,Hong Kong,2020-01-01,2022-04-16,yet
119,couple.murmur,Hong Kong,2020-01-01,2022-04-16,yet
120,sulinip,Hong Kong,2020-01-01,2022-04-16,yet
121,gigilai_official,Hong Kong,2020-01-01,2022-04-16,yet
122,ngklangus,Hong Kong,2020-01-01,2022-04-16,yet
123,angela.yuen,Hong Kong,2020-01-01,2022-04-16,yet
124,judy.kwong,Hong Kong,2020-01-01,2022-04-16,yet
125,rachellll_l,Hong Kong,2020-01-01,2022-04-16,yet
126,paisleyhu,Hong Kong,2020-01-01,2022-04-16,yet
127,sabrinapingping_,Hong Kong,2020-01-01,2022-04-16,yet
128,jojoeie1702,Hong Kong,2020-01-01,2022-04-16,yet
129,gloriapuiyeetang,Hong Kong,2020-01-01,2022-04-16,yet
130,kandybubu,Hong Kong,2020-01-01,2022-04-16,yet
131,vdubl,Hong Kong,2020-01-01,2022-04-16,yet
132,53yfp,Hong Kong,2020-01-01,2022-04-16,yet
133,6wing_fama,Hong Kong,2020-01-01,2022-04-16,yet
134,liliankan,Hong Kong,2020-01-01,2022-04-16,yet
135,hunggy9527,Hong Kong,2020-01-01,2022-04-16,yet
136,erin__kay,Hong Kong,2020-01-01,2022-04-16,yet
137,smilingboris,Hong Kong,2020-01-01,2022-04-16,yet
138,itstiffanylau,Hong Kong,2020-01-01,2022-04-16,yet
139,cathy_chui_official,Hong Kong,2020-01-01,2022-04-16,yet
140,ckw720,Hong Kong,2020-01-01,2022-04-16,yet
141,loktungcilla,Hong Kong,2020-01-01,2022-04-16,yet
142,snow711,Hong Kong,2020-01-01,2022-04-16,yet
143,owencheung,Hong Kong,2020-01-01,2022-04-16,yet
144,kelly.fuu,Hong Kong,2020-01-01,2022-04-16,yet
145,itsyuyann,Hong Kong,2020-01-01,2022-04-16,yet
146,siobhanhaughey01,Hong Kong,2020-01-01,2022-04-16,yet
147,honganc,Hong Kong,2020-01-01,2022-04-16,yet
148,alicechanwai,Hong Kong,2020-01-01,2022-04-16,yet
149,jeffreyngai,Hong Kong,2020-01-01,2022-04-16,yet
150,utravel,Hong Kong,2020-01-01,2022-04-16,yet
151,pumpkinjojoinstagram,Hong Kong,2020-01-01,2022-04-16,yet
152,kathychow520,Hong Kong,2020-01-01,2022-04-16,yet
153,tungtungdess,Hong Kong,2020-01-01,2022-04-16,yet
